PWGTP,SOCP,PUMA,ST,
90,533051,3401,17,
341,-1,3401,17,
114,472140,3401,17,
115,431011,3401,17,
144,395012,3401,17,
115,434051,3401,17,
414,439041,3401,17,
104,131111,3401,17,
127,132051,3401,17,
134,-1,3401,17,
266,413091,3401,17,
238,2310XX,3401,17,
268,-1,3401,17,
268,-1,3401,17,
319,-1,3401,17,
55,-1,3401,17,
60,-1,3401,17,
143,273041,3401,17,
120,259040,3401,17,
63,132051,3401,17,
68,333050,3401,17,
71,333050,3401,17,
65,37201X,3401,17,
68,353031,3401,17,
109,414010,3401,17,
117,259040,3401,17,
117,-1,3401,17,
137,-1,3401,17,
135,-1,3401,17,
112,131030,3401,17,
115,252020,3401,17,
113,553010,3401,17,
113,352021,3401,17,
109,212021,3401,17,
114,252030,3401,17,
330,112021,3401,17,
367,537062,3401,17,
71,411011,3401,17,
58,414010,3401,17,
81,-1,3401,17,
114,411012,3401,17,
174,112022,3401,17,
121,119030,3401,17,
115,5120XX,3401,17,
65,533051,3401,17,
65,254022,3401,17,
117,111021,3401,17,
109,395012,3401,17,
103,-1,3401,17,
102,-1,3401,17,
190,292010,3401,17,
168,49904X,3401,17,
152,-1,3401,17,
150,-1,3401,17,
97,411012,3401,17,
64,151211,3401,17,
63,1191XX,3401,17,
94,-1,3401,17,
60,-1,3401,17,
107,-1,3401,17,
19,-1,3401,17,
70,-1,3401,17,
69,119041,3401,17,
70,1191XX,3401,17,
78,1191XX,3401,17,
95,-1,3401,17,
95,-1,3401,17,
74,132011,3401,17,
71,1110XX,3401,17,
120,-1,3401,17,
126,1191XX,3401,17,
103,252010,3401,17,
104,-1,3401,17,
145,252020,3401,17,
118,151252,3401,17,
89,273041,3401,17,
109,191020,3401,17,
106,359011,3401,17,
124,-1,3401,17,
117,119051,3401,17,
61,151230,3401,17,
117,439061,3401,17,
116,172141,3401,17,
57,537062,3401,17,
378,512020,3401,17,
71,-1,3401,17,
66,-1,3401,17,
68,-1,3401,17,
89,-1,3401,17,
66,439021,3401,17,
79,499021,3401,17,
73,433071,3401,17,
92,119081,3401,17,
80,192099,3401,17,
72,192099,3401,17,
78,-1,3401,17,
78,-1,3401,17,
77,171011,3401,17,
76,-1,3401,17,
105,172051,3401,17,
113,271024,3401,17,
107,271024,3401,17,
110,-1,3401,17,
130,359031,3401,17,
67,-1,3401,17,
377,351011,3401,17,
318,37201X,3401,17,
102,1191XX,3401,17,
101,412031,3401,17,
104,-1,3401,17,
101,-1,3401,17,
65,339091,3401,17,
63,436014,3401,17,
78,333050,3401,17,
84,333050,3401,17,
92,-1,3401,17,
83,119030,3401,17,
73,252020,3401,17,
86,271024,3401,17,
105,4990XX,3401,17,
53,4990XX,3401,17,
61,435021,3401,17,
68,412031,3401,17,
62,413021,3401,17,
92,291020,3401,17,
98,291141,3401,17,
98,132052,3401,17,
187,439041,3401,17,
185,131070,3401,17,
111,414010,3401,17,
138,434051,3401,17,
138,-1,3401,17,
133,-1,3401,17,
134,291141,3401,17,
77,1191XX,3401,17,
83,-1,3401,17,
82,-1,3401,17,
68,-1,3401,17,
62,414010,3401,17,
62,537064,3401,17,
144,412010,3401,17,
157,5120XX,3401,17,
224,-1,3401,17,
126,-1,3401,17,
50,499071,3401,17,
95,151252,3401,17,
96,533051,3401,17,
90,519198,3401,17,
118,516093,3401,17,
116,131111,3401,17,
79,1191XX,3401,17,
63,274021,3401,17,
51,-1,3401,17,
93,412031,3401,17,
99,-1,3401,17,
101,352010,3401,17,
117,131111,3401,17,
118,131111,3401,17,
121,119051,3401,17,
99,472140,3401,17,
60,514041,3401,17,
61,395012,3401,17,
59,311131,3401,17,
192,1191XX,3401,17,
221,-1,3401,17,
52,37201X,3401,17,
99,119021,3401,17,
58,291210,3401,17,
115,-1,3401,17,
115,-1,3401,17,
113,414010,3401,17,
100,414010,3401,17,
127,-1,3401,17,
128,-1,3401,17,
115,113031,3401,17,
109,519061,3401,17,
76,-1,3401,17,
110,-1,3401,17,
99,-1,3401,17,
118,291141,3401,17,
131,352021,3401,17,
151,412010,3401,17,
124,352021,3401,17,
69,151252,3401,17,
59,-1,3401,17,
83,-1,3401,17,
54,172070,3401,17,
66,291141,3401,17,
77,-1,3401,17,
92,-1,3401,17,
77,-1,3401,17,
88,412010,3401,17,
92,37201X,3401,17,
90,-1,3401,17,
116,511011,3401,17,
112,292061,3401,17,
105,-1,3401,17,
101,-1,3401,17,
121,291210,3401,17,
147,291210,3401,17,
163,-1,3401,17,
70,533030,3401,17,
76,-1,3401,17,
76,131022,3401,17,
56,436013,3401,17,
129,5120XX,3401,17,
151,533030,3401,17,
124,-1,3401,17,
64,292032,3401,17,
63,412031,3401,17,
110,-1,3401,17,
108,113031,3401,17,
116,273043,3401,17,
69,-1,3401,17,
74,-1,3401,17,
54,436011,3401,17,
55,232011,3401,17,
59,1320XX,3401,17,
66,493090,3401,17,
61,-1,3401,17,
67,-1,3401,17,
67,132011,3401,17,
65,132052,3401,17,
102,132070,3401,17,
116,212021,3401,17,
158,272022,3401,17,
150,-1,3401,17,
64,533030,3401,17,
64,412031,3401,17,
71,492011,3401,17,
73,-1,3401,17,
60,132053,3401,17,
76,252020,3401,17,
79,516050,3401,17,
88,411011,3401,17,
86,-1,3401,17,
66,1721YY,3401,17,
67,-1,3401,17,
153,311122,3401,17,
80,172110,3401,17,
97,112022,3401,17,
99,434171,3401,17,
99,1320XX,3401,17,
98,414010,3401,17,
68,119041,3401,17,
119,353023,3401,17,
79,132052,3401,17,
82,419020,3401,17,
106,352010,3401,17,
87,537063,3401,17,
133,-1,3401,17,
122,352021,3401,17,
81,353023,3401,17,
106,412031,3401,17,
152,412010,3401,17,
163,5120XX,3401,17,
178,-1,3401,17,
177,-1,3401,17,
122,-1,3401,17,
106,-1,3401,17,
69,395012,3401,17,
97,212011,3401,17,
88,339030,3401,17,
73,414010,3401,17,
94,-1,3401,17,
83,1191XX,3401,17,
101,533030,3401,17,
80,113021,3401,17,
141,5191XX,3401,17,
166,412010,3401,17,
185,-1,3401,17,
182,-1,3401,17,
107,-1,3401,17,
113,431011,3401,17,
115,1191XX,3401,17,
101,112022,3401,17,
131,434051,3401,17,
75,-1,3401,17,
69,412010,3401,17,
420,251000,3401,17,
346,1191XX,3401,17,
387,439061,3401,17,
380,515112,3401,17,
87,2310XX,3401,17,
71,-1,3401,17,
65,-1,3401,17,
58,-1,3401,17,
78,37201X,3401,17,
106,472061,3401,17,
64,514120,3401,17,
66,-1,3401,17,
66,172141,3401,17,
55,-1,3401,17,
397,1191XX,3401,17,
408,537062,3401,17,
476,-1,3401,17,
442,-1,3401,17,
65,132011,3401,17,
138,1721YY,3401,17,
155,-1,3401,17,
66,-1,3401,17,
69,436014,3401,17,
64,472111,3401,17,
66,-1,3401,17,
127,172070,3401,17,
52,37201X,3401,17,
56,411012,3401,17,
89,399099,3401,17,
109,-1,3401,17,
57,-1,3401,17,
72,-1,3401,17,
129,112021,3401,17,
160,132070,3401,17,
132,-1,3401,17,
94,-1,3401,17,
67,353041,3401,17,
74,414010,3401,17,
71,131081,3401,17,
68,119013,3401,17,
70,291141,3401,17,
113,151252,3401,17,
125,192099,3401,17,
103,-1,3401,17,
90,-1,3401,17,
72,-1,3401,17,
73,-1,3401,17,
140,113131,3401,17,
128,-1,3401,17,
130,-1,3401,17,
93,-1,3401,17,
66,252020,3401,17,
114,131111,3401,17,
67,472111,3401,17,
60,-1,3401,17,
62,-1,3401,17,
65,-1,3401,17,
58,411011,3401,17,
99,493023,3401,17,
67,311131,3401,17,
69,29112X,3401,17,
74,351012,3401,17,
211,372012,3401,17,
209,-1,3401,17,
269,-1,3401,17,
285,-1,3401,17,
54,2530XX,3401,17,
52,413091,3401,17,
137,151252,3401,17,
119,252020,3401,17,
121,-1,3401,17,
77,-1,3401,17,
70,152011,3401,17,
73,-1,3401,17,
94,-1,3401,17
