WGTP,PWGTP,SOCP,ST,
57,91,-1,23,
471,471,291292,23,
471,363,537065,23,
34,34,-1,23,
75,75,-1,23,
75,63,472061,23,
75,47,472130,23,
75,72,311122,23,
85,84,412031,23,
85,132,-1,23,
85,88,-1,23,
85,88,-1,23,
85,97,-1,23,
280,279,119151,23,
280,415,119151,23,
28,28,-1,23,
42,42,211029,23,
42,33,333012,23,
42,37,-1,23,
102,102,-1,23,
33,33,434051,23,
33,75,434051,23,
158,158,511011,23,
158,144,2590XX,23,
203,203,-1,23,
33,33,-1,23,
171,170,-1,23,
171,219,-1,23,
48,48,37201X,23,
130,130,434051,23,
130,258,-1,23,
130,257,-1,23,
806,805,151254,23,
806,827,353031,23,
23,24,-1,23,
226,227,151252,23,
226,179,151299,23,
55,55,311131,23,
55,60,533030,23,
44,44,436014,23,
44,69,359021,23,
76,76,172141,23,
62,62,395012,23,
62,58,4520XX,23,
135,135,212011,23,
135,190,431011,23,
74,74,211011,23,
34,34,273023,23,
120,120,-1,23,
120,106,-1,23,
31,31,5120XX,23,
31,31,-1,23,
72,72,2310XX,23,
72,88,132011,23,
155,156,435071,23,
174,174,191020,23,
174,210,434111,23,
145,146,511011,23,
29,30,-1,23,
98,98,119141,23,
98,114,-1,23,
48,48,-1,23,
32,32,-1,23,
32,29,-1,23,
141,142,511011,23,
141,264,511011,23,
19,19,-1,23,
19,27,454020,23,
144,144,499071,23,
376,375,1191XX,23,
376,348,-1,23,
131,132,1110XX,23,
131,138,471011,23,
131,161,412010,23,
131,116,-1,23,
131,177,-1,23,
131,110,-1,23,
347,348,439061,23,
347,340,17302X,23,
347,192,-1,23,
347,273,-1,23,
347,238,439061,23,
85,86,132011,23,
41,40,433071,23,
42,42,333012,23,
50,50,-1,23,
50,52,-1,23,
232,231,439061,23,
142,143,252030,23,
142,111,1191XX,23,
142,203,419091,23,
233,232,-1,23,
233,428,-1,23,
178,178,119051,23,
178,297,353011,23,
178,462,359031,23,
42,42,119030,23,
42,56,399099,23,
186,186,194031,23,
186,159,436014,23,
186,310,252020,23,
255,255,192041,23,
255,165,453031,23,
255,174,37201X,23,
255,173,-1,23,
255,189,472111,23,
159,159,353031,23,
159,112,-1,23,
159,112,-1,23,
27,26,-1,23,
27,46,-1,23,
126,126,-1,23,
126,120,171011,23,
209,210,-1,23,
209,192,-1,23,
187,187,-1,23,
187,161,-1,23,
60,60,436014,23,
60,52,-1,23,
13,13,-1,23,
13,13,19303X,23,
30,30,-1,23,
101,101,151244,23,
322,323,472XXX,23,
70,70,251000,23,
70,76,291141,23,
108,108,411011,23,
108,120,436011,23,
77,77,434171,23,
77,142,514041,23,
135,135,311122,23,
135,144,37201X,23,
135,152,312010,23,
72,72,412010,23,
72,100,493023,23,
72,142,519061,23,
67,67,-1,23,
45,45,-1,23,
42,42,-1,23,
42,39,-1,23,
79,79,514120,23,
79,109,-1,23,
171,171,439061,23,
171,96,419099,23,
43,42,113071,23,
22,21,414010,23,
22,16,119013,23,
57,57,131070,23,
57,34,119111,23,
57,60,-1,23,
57,59,-1,23,
14,14,5191XX,23,
14,6,311131,23,
14,19,-1,23,
14,13,-1,23,
123,122,-1,23,
83,83,131199,23,
83,85,131151,23,
76,75,353031,23,
76,131,472031,23,
76,47,352010,23,
126,127,399031,23,
19,19,-1,23,
15,15,1191XX,23,
15,18,399032,23,
104,104,119013,23,
104,135,119013,23,
104,212,4520XX,23,
104,234,-1,23,
99,98,131070,23,
99,77,414010,23,
99,96,-1,23,
86,87,291141,23,
86,88,292061,23,
147,146,371011,23,
147,180,359031,23,
147,144,1191XX,23,
52,52,1110XX,23,
52,53,433031,23,
52,57,-1,23,
52,57,-1,23,
74,74,-1,23,
128,128,252020,23,
64,64,531000,23,
64,89,252020,23,
64,78,-1,23,
64,55,-1,23,
92,92,232011,23,
92,94,-1,23,
92,34,-1,23,
33,32,-1,23,
33,25,-1,23,
95,95,-1,23,
74,74,5120XX,23,
74,154,-1,23,
27,27,37301X,23,
93,94,-1,23,
186,186,1191XX,23,
186,180,119030,23,
44,43,-1,23,
35,35,-1,23,
35,38,353041,23,
242,242,113021,23,
242,295,412031,23,
131,131,251000,23,
131,50,439061,23,
131,107,412010,23,
67,67,-1,23,
67,143,412010,23,
67,81,537065,23,
75,74,251000,23,
75,88,251000,23,
34,34,533054,23,
34,50,-1,23,
88,88,291141,23,
88,85,472031,23,
136,137,2530XX,23,
136,133,-1,23,
26,26,-1,23,
26,19,533030,23,
26,13,-1,23,
26,17,-1,23,
223,223,-1,23,
223,241,-1,23,
54,53,2590XX,23,
54,27,311122,23,
54,90,453031,23,
54,11,453031,23,
24,25,392021,23,
24,34,351012,23,
16,16,5191XX,23,
539,539,252030,23,
539,479,299000,23,
539,447,439071,23,
66,67,399032,23,
66,72,291141,23,
193,193,272023,23,
193,255,292081,23,
43,43,132011,23,
43,33,3330XX,23,
43,72,-1,23,
43,72,-1,23,
43,63,353031,23,
35,35,-1,23,
74,75,-1,23,
