O*NET-SOC Code,Reading Comprehension,Active Listening,Writing,Speaking,Mathematics,Science,Critical Thinking,Active Learning,Learning Strategies,Monitoring,Social Perceptiveness,Coordination,Persuasion,Negotiation,Instructing,Service Orientation,Complex Problem Solving,Operations Analysis,Technology Design,Equipment Selection,Installation,Programming,Operations Monitoring,Operation and Control,Equipment Maintenance,Troubleshooting,Repairing,Quality Control Analysis,Judgment and Decision Making,Systems Analysis,Systems Evaluation,Time Management,Management of Financial Resources,Management of Material Resources,Management of Personnel Resources,Change in Employment
17-3022,4.12,4.0,3.5,3.5,3.38,2.62,3.62,3.0,2.62,3.38,2.88,3.0,2.38,2.75,2.38,2.62,3.25,3.0,0.75,0.25,0.0,1.0,2.38,2.0,0.0,0.88,0.0,2.0,3.12,3.0,2.75,2.88,1.62,2.0,2.25,-2430.0
17-3023,4.04,3.56,3.31,3.34,3.5,2.94,3.79,3.38,2.88,3.47,2.81,3.16,2.87,2.44,3.22,2.72,3.5,2.62,2.5,3.0,2.0,1.88,3.34,2.94,3.0,3.53,3.09,3.44,3.34,3.06,3.12,3.09,1.59,1.97,2.81,-14490.0
17-3024,3.94,3.5,3.25,3.185,3.315,3.065,3.875,3.31,3.06,3.625,2.935,3.06,2.435,2.125,3.06,2.69,3.37,2.25,2.0,3.125,3.185,2.375,3.94,3.62,3.88,3.94,3.875,3.88,3.12,3.06,3.125,2.94,1.125,1.315,2.63,-140.0
17-3025,4.0,4.0,3.88,4.0,3.75,3.75,4.0,3.88,3.0,3.75,3.0,3.0,2.88,2.75,2.88,2.88,3.38,3.0,1.88,2.25,0.0,2.0,3.12,2.75,2.0,2.62,2.25,3.38,3.62,3.0,3.0,3.12,2.12,2.75,3.0,-70.0
17-3026,3.935,3.75,3.7199999999999998,3.7199999999999998,3.7199999999999998,3.435,3.755,3.465,3.0949999999999998,3.7199999999999998,2.935,3.1550000000000002,2.9699999999999998,2.66,3.12,2.6550000000000002,3.66,2.25,2.435,2.12,0.405,1.75,2.935,2.005,2.2199999999999998,1.94,2.6550000000000002,3.1550000000000002,3.6550000000000002,3.375,3.375,3.19,1.44,1.995,2.6550000000000002,1430.0
17-3027,4.0600000000000005,3.5,3.375,3.44,3.38,3.0,3.565,3.185,2.87,3.38,2.75,3.125,2.685,2.315,2.81,2.435,3.25,2.565,1.935,2.69,1.315,1.565,3.125,3.0,2.81,3.12,2.935,3.315,3.25,2.94,3.0,2.87,1.19,1.44,2.5,-4740.0
17-3031,3.69,3.0,3.44,3.06,3.56,2.06,3.12,2.94,2.94,3.0,2.81,3.0,2.31,2.25,3.0,2.62,3.0,2.19,1.0,1.06,0.0,1.62,2.62,2.56,1.31,1.88,1.06,2.62,2.94,2.56,2.5,3.0,1.12,1.19,2.81,2280.0
19-1011,4.62,4.0,4.25,4.12,3.5,4.38,4.25,4.38,3.25,4.0,3.38,3.25,3.0,2.88,3.38,2.88,4.12,3.0,1.0,0.0,0.0,1.0,2.88,2.25,0.0,1.0,0.0,3.0,4.5,3.62,3.88,3.25,0.88,1.5,2.88,340.0
19-1012,4.25,4.0,4.0,4.0,3.12,3.38,4.25,3.88,3.0,3.88,3.12,3.5,3.5,3.38,3.5,3.12,3.88,1.88,1.12,0.75,0.0,0.88,3.0,2.0,0.0,2.12,0.0,3.75,3.88,3.75,3.62,3.75,1.25,1.62,2.88,-710.0
19-1013,5.0,4.12,4.38,4.62,3.88,4.88,4.38,4.5,3.88,4.12,3.0,3.0,3.12,2.75,3.12,2.88,4.25,3.75,1.5,0.0,0.0,2.0,2.88,2.25,0.0,1.0,0.0,3.0,4.25,3.88,3.88,2.88,1.62,2.0,2.62,-1000.0
